,apifreellmTime,apifreellmAnswer,gemmagoogleTime,gemmagoogleAnswer,openrouterTime,openrouterAnswer,Questions
0,"9,20",TESTMODE,"1,60",TESTMODE,"0,86",TESTMODE,Explica con tus propias palabras qué es la inteligencia artificial.
1,"9,24",TESTMODE,"8,04",TESTMODE,"1,43",TESTMODE,¿Por qué el cielo es azul?
2,"9,05",TESTMODE,"3,67",TESTMODE,"7,34",TESTMODE,Resume la Segunda Guerra Mundial en cinco frases.
3,"3,37",TESTMODE,"2,36",TESTMODE,"7,41",TESTMODE,"¿Qué pesa más, un kilo de hierro o un kilo de plumas? Explica tu razonamiento."
4,"4,92",TESTMODE,"5,34",TESTMODE,"9,14",TESTMODE,"Si tengo 3 manzanas y regalo 2, ¿cuántas me quedan?"
5,"1,98",TESTMODE,"5,10",TESTMODE,"4,53",TESTMODE,Inventa un final alternativo para Caperucita Roja.
6,"4,22",TESTMODE,"2,97",TESTMODE,"5,40",TESTMODE,Escribe un haiku sobre la programación.
7,"9,51",TESTMODE,"8,49",TESTMODE,"0,98",TESTMODE,¿Qué es una función recursiva? Da un ejemplo sencillo.
8,"3,93",TESTMODE,"8,37",TESTMODE,"4,89",TESTMODE,Traduce la frase 'El conocimiento es poder' al inglés.
9,"2,70",TESTMODE,"3,53",TESTMODE,"5,11",TESTMODE,"Ordena estos números de menor a mayor: 42, 7, 19, 3, 25."
